Trading Day,Median Path,10th Percentile,90th Percentile
1,441.018430932043,434.3465417571859,447.71478108350465
2,441.47564182723124,431.51517093989975,450.78390675232765
3,441.2470613953565,429.1030674511944,452.8435777506936
4,441.1874124810259,427.8758381802777,455.28735546611614
5,441.7194426153025,426.7100240057302,457.02421802938915
6,441.444122943304,426.6468050322033,458.87240327134487
7,442.06246718208575,425.016135949189,461.235670307089
8,442.4424947353577,423.52695016960456,461.8513281225808
9,442.8041509383836,422.95162122348404,462.78180972416914
10,443.20321634766407,422.4621750014728,464.1199611230666
11,443.0514945377156,420.968775517497,466.5164404384489
12,443.4756534270198,420.3656087443021,467.2291051196656
13,443.9819583354556,419.81868903362283,468.14749267145487
14,443.9232643356378,419.2726165346013,468.7157123122557
15,444.7796317206202,418.08410788203645,470.78738044843107
16,444.70295574551585,417.3872521778618,472.02725949589154
17,444.1400578609681,416.9214521241624,471.22951164754505
18,444.59230296549913,416.4782562670868,472.57006182781845
19,445.7751316935646,416.32325932003255,474.02337355543546
20,445.6065124251032,415.6973908477157,475.03132478163553
21,445.4920864108715,414.8598550936926,476.3645163245901
22,446.01966357190474,414.9567004320086,477.30303439607155
23,445.5311050560179,413.78522077711204,479.18233338082524
24,445.77531162015407,413.41856507102136,479.15642974470387
25,446.9325714978304,413.13857230466664,479.96891211224266
26,447.6157880409098,412.8532844625614,481.27753639191997
27,446.1922009383794,411.82247948165104,481.897358003058
28,446.3703590485934,411.25123177154705,482.8841372397435
29,446.8424836297655,410.5135251306542,482.9631638934086
30,445.6560679924214,410.05718138455927,483.7613229313376
31,446.7801050564542,408.8756795468125,485.2781153503261
32,446.572111366057,408.80155659375083,486.77608355235844
33,446.80037161342796,408.4478873996475,487.32444310037465
34,446.9795942796202,408.08231057272513,488.338016757839
35,447.12214409886735,409.23047983535594,488.6541576325643
36,447.2993815929267,407.9872375708754,489.14165274967615
37,447.1128269247147,407.17238715978806,491.62686899798473
38,447.9333268780823,407.78046737066285,490.09930221683
39,448.39255419270546,408.27928830576775,491.6997133956174
40,448.2659496632896,408.1382530473841,491.833301185563
41,448.37590976192314,406.51058870296606,493.68852021758585
42,448.54402267081724,405.9953809122023,495.0832189092918
43,448.6206850244357,406.43100815928057,494.2340562661452
44,448.8479509854982,406.72270176801396,495.810678073296
45,449.87499002418747,406.08622022570535,498.1894590988015
46,448.86762265850643,405.9478729805902,497.28081496641914
47,448.45437544636627,405.4495236460378,497.1428769034858
48,450.1853773377631,404.9300251620345,497.61828304211826
49,448.89804792840135,404.5180063638154,498.98812303899547
50,449.83067597983063,404.0249127115779,499.2981396732532
51,449.3239079819026,404.94197277110305,501.3223233880231
52,449.82210146321995,405.32402626238854,500.739737565885
53,451.5353904352671,405.21439988947645,501.0678768881599
54,450.6943273715526,404.2269687488797,501.9251888629335
55,451.6042083630898,404.4275402553765,501.16030252878966
56,451.33656819601845,404.15833886361366,502.65492659191676
57,450.91215798643077,404.1249612200598,503.11279013347945
58,451.0091766246172,402.22627084718135,505.2437562932517
59,452.00827529965386,403.4373774121277,504.3848471725008
60,451.55515769166857,404.20520738230044,504.2580282242399
